StudentRollNumber,ClassName,CourseName
2024CS_1001,CS105,
2024CS_1001,CS115,CYBER
2024CS_1001,MATH101,
2024CS_1002,ENG103,CHEMBS
2024CS_1002,MATH114,CHEMBS
2024CS_1002,CS112,CHEMBS
2024CS_1002,MATH106,
2024CS_1002,MATH112,
2024CS_1003,CS105,WEBDEV
2024CS_1003,ENG109,WEBDEV
2024CS_1003,MATH113,
2024CS_1003,CS124,WEBDEV
2024CS_1003,CS108,
2024CS_1004,CS107,GENSTU
2024CS_1004,CS119,
2024CS_1004,ENG106,GENSTU
2024CS_1004,MATH106,
2024CS_1004,MATH106,GENSTU
2024CS_1005,MATH100,
2024CS_1005,CS115,
2024CS_1005,CS102,
2024CS_1005,ENG107,
2024CS_1005,CS109,DSBS
2024CS_1006,ENG107,
2024CS_1006,CS106,
2024CS_1006,CS105,
2024CS_1006,MATH108,PSYBA
2024CS_1007,CS107,
2024CS_1007,CS106,ENGBA
2024CS_1007,CS111,
2024CS_1007,MATH111,ENGBA
2024CS_1007,ENG107,
2024CS_1008,ENG100,
2024CS_1008,MATH101,PREMED
2024CS_1008,MATH112,
2024CS_1008,CS100,
2024CS_1008,ENG109,PREMED
2024CS_1009,CS101,
2024CS_1009,MATH100,
2024CS_1009,CS105,
2024CS_1009,CS111,
2024CS_1010,CS109,
2024CS_1010,CS115,CSBS
2024CS_1010,MATH114,
2024CS_1011,CS121,
2024CS_1011,ENG108,PSYBA
2024CS_1011,CS107,
2024CS_1012,CS106,
2024CS_1012,CS110,
2024CS_1012,CS112,
2024CS_1012,MATH107,BBA
2024CS_1012,CS122,
2024CS_1013,MATH112,PREMED
2024CS_1013,MATH105,
2024CS_1013,CS107,PREMED
2024CS_1013,ENG102,
2024CS_1014,CS107,
2024CS_1014,ENG106,CHEMBS
2024CS_1014,MATH100,CHEMBS
2024CS_1014,CS118,CHEMBS
2024CS_1015,MATH109,STATBS
2024CS_1015,CS123,
2024CS_1015,ENG102,
2024CS_1015,CS122,STATBS
2024CS_1016,MATH113,
2024CS_1016,CS112,ECONBA
2024CS_1016,CS107,
2024CS_1016,CS122,ECONBA
2024CS_1016,CS105,
2024CS_1017,CS106,CYBER
2024CS_1017,CS103,CYBER
2024CS_1017,CS121,
2024CS_1017,ENG108,
2024CS_1017,MATH102,CYBER
2024CS_1018,CS121,BUSEST
2024CS_1018,CS100,BUSEST
2024CS_1018,CS106,BUSEST
2024CS_1018,MATH106,
2024CS_1019,MATH105,
2024CS_1019,MATH108,
2024CS_1019,CS103,BBA
2024CS_1019,CS121,
2024CS_1020,CS102,
2024CS_1020,ENG101,
2024CS_1020,MATH101,
2024CS_1021,MATH108,STATBS
2024CS_1021,CS111,
2024CS_1021,CS104,
2024CS_1021,CS106,STATBS
2024CS_1021,MATH109,
